EmployeeNumber,Age,Gender,Education,EducationField,MaritalStatus,JobRole,JobLevel,Department,MonthlyIncome,PercentSalaryHike,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,PerformanceRating,StandardHours,OverTime,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TrainingTimesLastYear,YearsSinceLastPromotion,DistanceFromHome,WorkLifeBalance,BusinessTravel,Churn
463,29,Female,1,Marketing,Divorced,Sales Executive,2,Sales,8268,14,2,2,4,1,3,80,Yes,1,7,7,2,7,10,1,3,7,Travel_Rarely,No
464,35,Male,4,Technical Degree,Single,Manufacturing Director,3,Research & Development,8095,13,3,2,3,4,3,80,No,0,17,16,5,13,5,0,3,6,Travel_Rarely,No
465,23,Male,1,Life Sciences,Divorced,Research Scientist,1,Research & Development,2904,12,3,4,3,3,3,80,No,1,4,4,2,2,26,0,2,2,Travel_Rarely,No
466,41,Male,3,Medical,Single,Manufacturing Director,2,Research & Development,6032,15,2,2,4,4,3,80,Yes,6,8,5,3,2,6,1,3,4,Travel_Rarely,No
467,47,Male,1,Medical,Single,Sales Representative,2,Sales,2976,19,3,3,2,1,3,80,No,3,5,0,3,0,4,0,3,0,Travel_Frequently,No
468,42,Female,5,Life Sciences,Single,Research Director,4,Research & Development,15992,14,3,4,1,2,3,80,No,2,16,1,2,0,23,0,3,0,Travel_Rarely,No
469,29,Male,3,Life Sciences,Married,Sales Executive,2,Sales,4649,14,3,3,4,1,3,80,No,1,4,4,3,2,2,0,2,3,Non-Travel,No
470,42,Male,1,Technical Degree,Divorced,Human Resources,1,Human Resources,2696,11,3,3,3,3,3,80,Yes,0,4,3,5,0,2,1,3,2,Travel_Rarely,No
471,32,Female,3,Medical,Married,Laboratory Technician,1,Research & Development,2370,13,3,2,3,3,3,80,No,1,8,8,4,7,2,0,3,0,Travel_Rarely,No
473,48,Female,1,Medical,Married,Manager,3,Sales,12504,21,3,3,1,2,4,80,No,3,15,0,3,0,29,0,1,0,Travel_Rarely,No
474,37,Male,3,Medical,Divorced,Research Scientist,2,Research & Development,5974,13,4,1,3,1,3,80,Yes,4,13,7,2,7,6,6,3,7,Travel_Rarely,No
475,30,Female,2,Technical Degree,Married,Sales Executive,2,Sales,4736,12,3,3,4,2,3,80,Yes,7,4,2,2,2,25,2,4,2,Non-Travel,No
476,26,Male,3,Life Sciences,Married,Sales Executive,2,Sales,5296,17,3,3,3,2,3,80,No,1,8,8,3,7,1,7,3,7,Travel_Rarely,No
477,42,Male,4,Other,Single,Healthcare Representative,2,Research & Development,6781,23,2,4,1,2,4,80,No,3,14,1,6,0,2,0,3,0,Travel_Rarely,No
478,21,Female,1,Technical Degree,Single,Sales Representative,1,Sales,2174,11,2,2,1,3,3,80,Yes,1,3,3,3,2,1,1,3,2,Travel_Frequently,Yes
479,36,Female,5,Medical,Single,Sales Executive,2,Sales,6653,15,3,4,4,2,3,80,No,4,7,1,6,0,1,0,3,0,Non-Travel,No
481,36,Male,4,Medical,Married,Sales Executive,3,Sales,9699,11,2,4,1,1,3,80,No,4,16,13,2,12,3,1,3,9,Travel_Frequently,No
482,57,Male,4,Medical,Married,Healthcare Representative,2,Research & Development,6755,11,3,3,4,3,3,80,No,2,15,3,2,2,1,1,3,2,Travel_Rarely,No
483,40,Female,4,Life Sciences,Married,Laboratory Technician,1,Research & Development,2213,13,4,3,4,3,3,80,Yes,3,10,7,3,7,10,1,3,7,Travel_Rarely,No
484,21,Male,2,Medical,Single,Sales Representative,1,Sales,2610,24,3,4,1,3,4,80,No,1,3,3,3,2,9,2,2,2,Non-Travel,No
485,33,Female,3,Marketing,Single,Sales Representative,1,Sales,2851,13,3,3,4,2,3,80,Yes,1,1,1,2,0,5,0,3,0,Travel_Rarely,Yes
486,37,Female,3,Medical,Married,Laboratory Technician,1,Research & Development,3452,20,3,1,3,2,4,80,No,6,17,5,3,3,10,0,3,4,Travel_Rarely,No
487,46,Female,4,Medical,Married,Manufacturing Director,2,Research & Development,5258,14,3,3,3,3,3,80,No,2,7,1,2,0,7,0,4,0,Non-Travel,No
488,41,Male,3,Marketing,Single,Sales Executive,2,Sales,9355,18,3,2,1,3,3,80,No,1,8,8,5,7,4,7,3,7,Travel_Frequently,Yes
491,50,Male,3,Technical Degree,Single,Healthcare Representative,3,Research & Development,10496,15,2,4,4,4,3,80,No,6,20,4,2,3,10,1,3,3,Travel_Rarely,No
492,40,Male,2,Marketing,Married,Sales Executive,2,Sales,6380,12,2,3,3,1,3,80,Yes,2,8,6,6,0,22,1,3,4,Travel_Rarely,Yes
493,31,Male,4,Life Sciences,Single,Research Scientist,1,Research & Development,2657,16,2,2,3,4,3,80,Yes,0,3,2,5,2,9,2,3,2,Travel_Rarely,No
494,21,Female,3,Life Sciences,Single,Sales Representative,1,Sales,2716,15,4,2,3,4,3,80,No,1,1,1,0,0,12,0,3,0,Travel_Rarely,Yes
495,29,Male,3,Life Sciences,Single,Research Scientist,1,Research & Development,2201,16,3,4,4,4,3,80,No,9,6,3,4,2,23,1,3,2,Travel_Rarely,No
496,35,Male,4,Life Sciences,Single,Healthcare Representative,2,Research & Development,6540,19,2,2,3,3,3,80,No,9,10,1,5,0,9,0,3,1,Travel_Rarely,No
497,27,Male,2,Medical,Divorced,Laboratory Technician,1,Research & Development,3816,11,3,2,4,2,3,80,No,1,5,5,2,4,1,0,3,2,Travel_Rarely,No
498,28,Male,4,Life Sciences,Single,Sales Executive,2,Sales,5253,16,3,4,2,4,3,80,No,1,7,7,1,7,9,0,3,5,Travel_Rarely,No
499,49,Male,3,Other,Single,Healthcare Representative,3,Research & Development,10965,24,2,3,2,3,4,80,No,8,26,5,2,0,7,0,3,2,Travel_Rarely,No
500,51,Female,2,Life Sciences,Married,Sales Executive,2,Sales,4936,11,3,4,3,3,3,80,No,4,18,7,2,7,14,0,2,7,Travel_Rarely,No
501,36,Female,3,Life Sciences,Married,Research Scientist,1,Research & Development,2543,13,3,3,4,2,3,80,No,4,6,2,3,2,2,2,3,2,Travel_Rarely,No
502,34,Male,3,Marketing,Single,Sales Executive,2,Sales,5304,13,4,4,1,2,3,80,Yes,8,9,5,3,4,19,0,2,2,Non-Travel,Yes
505,55,Female,3,Life Sciences,Single,Manager,4,Research & Development,16659,13,3,4,3,3,3,80,Yes,2,30,5,2,2,2,1,3,4,Travel_Rarely,No
507,24,Female,4,Marketing,Divorced,Sales Executive,2,Sales,4260,12,3,3,4,4,3,80,Yes,1,5,5,2,3,10,0,4,2,Travel_Rarely,No
508,30,Male,1,Technical Degree,Married,Sales Representative,1,Sales,2476,18,3,2,3,1,3,80,No,1,1,1,3,0,2,0,3,0,Travel_Rarely,No
510,26,Male,1,Technical Degree,Single,Research Scientist,1,Research & Development,3102,22,3,1,3,3,4,80,No,0,7,6,2,4,3,0,3,4,Travel_Frequently,Yes
511,22,Female,3,Medical,Married,Research Scientist,1,Research & Development,2244,13,3,2,1,4,3,80,No,1,2,2,1,2,11,1,3,1,Travel_Rarely,No
513,36,Male,2,Medical,Married,Sales Executive,3,Sales,7596,13,2,3,2,2,3,80,No,1,10,10,2,0,2,9,3,9,Travel_Rarely,No
514,30,Male,3,Technical Degree,Single,Research Scientist,1,Research & Development,2285,23,3,4,3,3,4,80,Yes,9,3,1,4,0,4,0,3,0,Travel_Frequently,Yes
515,37,Female,3,Life Sciences,Divorced,Laboratory Technician,1,Research & Development,3034,12,3,1,4,3,3,80,No,1,18,18,2,17,14,12,2,7,Travel_Rarely,No
516,40,Female,2,Marketing,Divorced,Sales Executive,2,Sales,5715,12,3,2,4,3,3,80,No,7,8,5,5,3,2,1,3,4,Travel_Rarely,No
517,42,Female,4,Life Sciences,Divorced,Laboratory Technician,1,Research & Development,2576,16,3,1,2,2,3,80,No,3,8,5,5,2,1,1,3,2,Travel_Rarely,No
518,37,Male,4,Life Sciences,Single,Manufacturing Director,2,Research & Development,4197,12,3,2,3,4,3,80,Yes,2,18,1,2,1,10,0,2,0,Travel_Rarely,No
520,43,Male,3,Life Sciences,Divorced,Research Director,4,Research & Development,14336,11,2,2,1,3,3,80,No,1,25,25,3,9,12,3,3,10,Travel_Rarely,No
521,40,Female,3,Medical,Married,Laboratory Technician,2,Research & Development,3448,22,2,3,2,2,4,80,No,6,20,1,3,0,2,0,3,0,Travel_Rarely,No
522,54,Male,2,Medical,Married,Research Director,5,Research & Development,19406,11,3,1,1,3,3,80,No,4,24,4,4,2,5,1,2,2,Travel_Rarely,No
523,34,Female,4,Marketing,Married,Sales Executive,2,Sales,6538,15,3,3,3,1,3,80,No,9,6,3,3,2,4,1,3,2,Non-Travel,No
524,31,Female,2,Medical,Married,Manufacturing Director,2,Research & Development,4306,12,3,1,2,2,3,80,No,1,13,13,5,12,7,3,1,10,Travel_Rarely,No
525,43,Male,3,Medical,Married,Laboratory Technician,1,Research & Development,2258,20,3,4,4,1,4,80,No,7,8,3,1,2,21,1,3,2,Travel_Frequently,No
526,43,Female,4,Other,Divorced,Healthcare Representative,2,Research & Development,4522,14,3,3,3,4,3,80,Yes,4,8,5,3,2,8,0,3,2,Travel_Rarely,No
527,25,Female,2,Life Sciences,Single,Sales Executive,2,Sales,4487,11,2,4,2,2,3,80,Yes,1,5,5,3,3,4,1,3,4,Travel_Rarely,No
529,37,Female,5,Medical,Married,Research Scientist,2,Research & Development,4449,15,3,3,2,1,3,80,Yes,3,15,13,2,7,25,10,3,11,Non-Travel,No
530,31,Male,2,Life Sciences,Married,Laboratory Technician,1,Research & Development,2218,12,2,1,4,3,3,80,No,1,4,4,3,2,1,3,3,2,Travel_Rarely,No
531,39,Male,1,Life Sciences,Divorced,Manager,5,Research & Development,19197,14,3,3,2,3,3,80,Yes,1,21,21,3,6,1,1,3,8,Travel_Frequently,No
532,56,Female,3,Life Sciences,Married,Sales Executive,4,Sales,13212,11,4,1,3,4,3,80,No,9,36,7,0,7,6,7,2,7,Travel_Frequently,No
533,30,Female,3,Technical Degree,Single,Sales Executive,2,Sales,6577,11,3,3,2,2,3,80,No,0,6,5,6,4,12,4,3,4,Travel_Rarely,No
534,41,Male,3,Marketing,Married,Sales Executive,3,Sales,8392,16,4,1,2,3,3,80,No,1,10,10,2,7,1,0,3,7,Travel_Rarely,No
536,28,Male,2,Medical,Divorced,Laboratory Technician,2,Research & Development,4558,12,3,1,3,4,3,80,No,1,10,10,2,8,17,1,3,0,Travel_Rarely,No
538,25,Male,3,Medical,Married,Laboratory Technician,1,Research & Development,4031,13,3,1,1,3,3,80,No,5,6,2,5,2,3,0,3,2,Travel_Rarely,Yes
543,52,Male,3,Medical,Married,Manufacturing Director,3,Research & Development,7969,14,2,3,4,3,3,80,Yes,2,28,5,4,4,3,0,3,4,Travel_Rarely,No
544,45,Male,2,Life Sciences,Married,Research Scientist,1,Research & Development,2654,21,3,4,1,4,4,80,No,3,8,2,3,2,10,0,2,2,Travel_Rarely,No
546,52,Female,2,Life Sciences,Married,Manager,4,Research & Development,16555,13,3,4,4,4,3,80,No,2,31,5,2,4,4,1,1,2,Travel_Rarely,No
547,42,Female,2,Life Sciences,Divorced,Research Scientist,2,Research & Development,4556,11,3,3,1,2,3,80,No,2,19,5,3,2,29,0,3,4,Travel_Frequently,No
548,30,Female,3,Life Sciences,Single,Manufacturing Director,2,Research & Development,6091,20,1,4,3,3,4,80,No,2,11,5,2,2,2,0,3,4,Travel_Rarely,No
549,60,Female,3,Life Sciences,Married,Manager,5,Research & Development,19566,11,3,1,1,4,3,80,No,5,33,29,5,10,7,11,1,8,Travel_Rarely,No
550,46,Female,3,Medical,Divorced,Manufacturing Director,2,Research & Development,4810,14,3,3,3,3,3,80,No,2,19,10,5,8,18,0,2,7,Travel_Rarely,No
551,42,Female,4,Technical Degree,Married,Healthcare Representative,2,Research & Development,4523,11,2,4,4,4,3,80,No,0,7,6,4,4,28,0,4,5,Travel_Frequently,No
554,24,Female,1,Technical Degree,Single,Sales Representative,1,Sales,3202,16,3,2,1,2,3,80,Yes,1,6,5,4,4,1,1,3,3,Travel_Rarely,Yes
555,34,Female,2,Marketing,Divorced,Sales Representative,1,Sales,2351,16,1,3,4,4,3,80,No,0,3,2,3,0,6,1,2,2,Travel_Frequently,Yes
556,38,Male,2,Life Sciences,Married,Laboratory Technician,1,Research & Development,1702,23,3,4,4,3,4,80,Yes,1,1,1,3,0,2,0,3,0,Travel_Frequently,No
558,40,Female,4,Life Sciences,Married,Manager,5,Sales,18041,14,3,3,3,4,3,80,No,0,21,20,2,12,2,1,3,15,Travel_Rarely,No
560,26,Female,3,Life Sciences,Divorced,Research Scientist,1,Research & Development,2886,22,3,4,1,2,4,80,No,1,3,3,3,2,23,0,1,2,Travel_Rarely,No
562,30,Male,3,Life Sciences,Married,Laboratory Technician,1,Research & Development,2097,15,3,4,3,3,3,80,No,4,9,5,3,4,3,1,1,3,Non-Travel,No
564,29,Male,4,Medical,Married,Research Director,3,Research & Development,11935,18,2,3,2,3,3,80,No,1,10,10,2,7,3,0,3,2,Travel_Rarely,No
565,29,Female,5,Technical Degree,Married,Research Scientist,1,Research & Development,2546,16,2,2,3,2,3,80,No,5,6,2,2,1,25,1,4,2,Travel_Rarely,Yes
566,19,Male,2,Technical Degree,Single,Human Resources,1,Human Resources,2564,12,2,4,1,3,3,80,No,1,1,1,3,0,2,0,4,0,Travel_Rarely,Yes
567,30,Female,4,Other,Married,Sales Executive,3,Sales,8412,11,3,1,3,3,3,80,No,0,10,9,3,8,22,7,3,8,Non-Travel,No
568,57,Male,3,Marketing,Divorced,Manager,4,Sales,14118,12,2,4,1,3,3,80,No,3,32,1,3,0,29,0,2,0,Travel_Rarely,No
569,50,Male,4,Life Sciences,Married,Manager,4,Research & Development,17046,15,2,3,2,2,3,80,No,0,28,27,2,7,29,15,3,10,Travel_Rarely,No
571,30,Female,3,Medical,Single,Laboratory Technician,1,Research & Development,2564,14,3,4,3,3,3,80,No,0,12,11,2,7,2,6,2,7,Non-Travel,No
573,60,Female,3,Marketing,Married,Sales Executive,3,Sales,10266,19,2,1,3,4,3,80,No,4,22,18,5,11,28,13,4,13,Travel_Frequently,No
574,47,Female,2,Medical,Divorced,Manufacturing Director,2,Research & Development,5070,13,3,4,1,3,3,80,No,5,20,5,2,4,2,0,3,0,Travel_Rarely,No
575,46,Male,3,Life Sciences,Married,Research Director,4,Research & Development,17861,13,3,3,1,3,3,80,No,6,26,3,2,1,2,0,1,2,Travel_Rarely,No
577,35,Male,3,Life Sciences,Single,Laboratory Technician,1,Research & Development,4230,15,1,3,4,3,3,80,No,0,6,5,2,3,22,4,3,4,Travel_Rarely,No
578,54,Female,4,Life Sciences,Single,Laboratory Technician,2,Research & Development,3780,11,3,3,3,3,3,80,No,7,19,1,3,0,8,0,3,0,Travel_Rarely,No
579,34,Male,4,Life Sciences,Divorced,Research Scientist,1,Research & Development,2768,12,2,3,4,3,3,80,No,3,14,7,3,7,2,5,3,3,Travel_Rarely,No
580,46,Female,3,Marketing,Married,Sales Executive,3,Sales,9071,19,2,4,3,3,3,80,Yes,2,15,3,3,2,10,1,3,2,Travel_Rarely,No
581,31,Male,1,Life Sciences,Divorced,Manufacturing Director,3,Research & Development,10648,25,3,2,3,4,4,80,No,1,13,13,6,8,9,0,4,8,Travel_Rarely,No
582,33,Male,1,Medical,Married,Manager,3,Research & Development,13610,12,3,3,2,4,3,80,Yes,7,15,7,2,7,15,7,4,6,Travel_Rarely,Yes
584,33,Male,1,Medical,Divorced,Laboratory Technician,1,Research & Development,3408,13,1,4,1,1,3,80,No,7,8,4,2,3,10,1,3,3,Travel_Rarely,Yes
585,30,Male,1,Marketing,Single,Sales Representative,1,Sales,2983,14,3,2,4,1,3,80,No,0,4,3,3,2,7,1,3,2,Travel_Rarely,No
586,35,Male,3,Life Sciences,Married,Healthcare Representative,3,Research & Development,7632,12,3,3,4,3,3,80,Yes,4,10,8,2,0,16,0,3,7,Travel_Rarely,No
587,31,Male,3,Life Sciences,Married,Healthcare Representative,3,Research & Development,9824,12,3,3,1,1,3,80,No,3,12,1,2,0,20,0,3,0,Travel_Frequently,Yes
590,34,Female,3,Human Resources,Divorced,Human Resources,3,Human Resources,9950,15,3,1,2,3,3,80,Yes,9,11,3,2,2,23,0,3,2,Travel_Frequently,Yes
591,42,Male,2,Other,Married,Laboratory Technician,1,Research & Development,2093,17,3,3,2,4,3,80,No,4,8,2,4,0,5,2,3,2,Travel_Frequently,No
592,36,Male,4,Medical,Single,Sales Executive,3,Sales,9980,14,3,4,2,4,3,80,No,1,10,10,3,7,10,9,2,3,Non-Travel,No
593,22,Male,1,Technical Degree,Single,Laboratory Technician,1,Research & Development,3894,16,2,3,3,3,3,80,No,5,4,2,3,2,4,1,3,2,Travel_Frequently,Yes
595,48,Female,5,Marketing,Married,Sales Executive,2,Sales,4051,14,3,4,2,1,3,80,No,2,14,9,2,7,2,6,3,7,Travel_Rarely,No
597,55,Female,5,Life Sciences,Single,Manager,4,Sales,16835,23,3,2,1,4,4,80,No,3,37,10,2,7,18,7,3,9,Travel_Rarely,No
599,41,Male,2,Life Sciences,Single,Sales Executive,2,Sales,6230,14,3,4,4,4,3,80,No,7,16,14,3,10,10,1,3,3,Non-Travel,No
600,35,Male,3,Marketing,Married,Sales Executive,2,Sales,4717,11,3,3,2,3,3,80,No,9,15,11,2,9,1,6,3,9,Travel_Rarely,No
601,40,Female,3,Life Sciences,Single,Manufacturing Director,4,Research & Development,13237,15,3,3,2,3,3,80,No,7,22,20,3,13,6,5,3,6,Travel_Rarely,No
602,39,Female,1,Life Sciences,Married,Laboratory Technician,1,Research & Development,3755,11,3,3,3,1,3,80,No,1,8,8,3,7,8,0,3,3,Travel_Frequently,No
604,31,Male,1,Life Sciences,Single,Sales Executive,2,Sales,6582,13,3,4,2,3,3,80,Yes,4,10,6,2,5,2,0,4,5,Travel_Rarely,No
605,42,Male,3,Medical,Married,Manufacturing Director,3,Research & Development,7406,21,3,1,4,4,4,80,Yes,1,10,10,5,8,24,5,2,9,Travel_Rarely,No
606,45,Male,3,Other,Married,Sales Executive,2,Sales,4805,19,3,2,4,2,3,80,No,0,9,8,3,7,2,3,4,7,Travel_Rarely,No
608,26,Female,4,Life Sciences,Divorced,Human Resources,1,Human Resources,2741,11,3,3,2,2,3,80,Yes,0,8,7,2,0,17,1,2,7,Travel_Frequently,Yes
611,29,Male,3,Technical Degree,Divorced,Manufacturing Director,2,Research & Development,4262,12,3,4,4,2,3,80,No,4,8,3,2,2,19,1,4,2,Travel_Rarely,No
612,33,Female,5,Medical,Divorced,Research Director,4,Research & Development,16184,19,4,3,1,3,3,80,No,4,10,6,2,5,1,0,3,1,Travel_Rarely,No
613,31,Male,3,Life Sciences,Divorced,Manager,3,Sales,11557,21,2,4,3,3,4,80,No,9,10,5,3,1,7,0,2,4,Travel_Rarely,No
614,18,Male,3,Marketing,Single,Sales Representative,1,Sales,1878,14,3,2,2,4,3,80,Yes,1,0,0,3,0,5,0,3,0,Travel_Frequently,Yes
615,40,Male,3,Other,Divorced,Sales Executive,3,Sales,10932,15,1,1,3,3,3,80,No,3,20,1,2,1,28,0,3,0,Non-Travel,No
616,41,Female,4,Other,Single,Healthcare Representative,2,Research & Development,6811,17,2,3,1,1,3,80,Yes,2,10,8,3,7,2,0,3,7,Non-Travel,No
618,26,Male,2,Medical,Divorced,Sales Executive,2,Sales,4306,12,3,3,1,1,3,80,No,5,8,0,5,0,29,0,3,0,Travel_Rarely,No
620,35,Female,3,Medical,Single,Sales Executive,2,Sales,4859,16,3,3,1,4,3,80,No,1,5,5,3,3,1,0,3,4,Travel_Rarely,No
621,34,Male,4,Life Sciences,Single,Sales Executive,2,Sales,5337,12,4,4,4,4,3,80,No,1,10,10,3,7,21,5,3,7,Travel_Rarely,No
622,26,Male,3,Technical Degree,Single,Laboratory Technician,1,Research & Development,2340,18,1,4,3,2,3,80,Yes,1,1,1,3,0,24,0,1,0,Travel_Rarely,Yes
623,37,Female,3,Technical Degree,Single,Manufacturing Director,3,Research & Development,7491,17,3,4,2,4,3,80,No,4,12,6,3,2,1,1,4,5,Travel_Rarely,No
624,46,Female,1,Medical,Married,Healthcare Representative,3,Research & Development,10527,11,3,3,1,4,3,80,No,5,28,2,3,2,18,1,2,2,Travel_Frequently,No
625,41,Female,5,Life Sciences,Married,Manager,4,Sales,16595,16,3,1,2,2,3,80,No,7,22,18,2,8,2,11,3,16,Travel_Rarely,No
626,37,Male,4,Medical,Divorced,Sales Executive,3,Sales,8834,13,3,2,1,4,3,80,No,1,9,9,6,7,9,7,3,5,Non-Travel,No
630,52,Male,2,Technical Degree,Divorced,Research Scientist,2,Research & Development,5577,12,3,1,4,2,3,80,Yes,3,18,10,3,9,6,6,3,9,Travel_Rarely,No
631,32,Male,4,Other,Married,Sales Executive,2,Sales,4707,12,4,3,4,4,3,80,No,8,6,4,2,2,11,1,3,2,Non-Travel,Yes
632,24,Male,3,Medical,Married,Sales Representative,1,Sales,2400,13,3,4,4,3,3,80,No,0,3,2,3,1,24,2,3,2,Travel_Frequently,No
634,38,Female,3,Medical,Married,Healthcare Representative,2,Research & Development,9824,19,3,3,3,3,3,80,No,3,18,1,4,0,10,0,3,0,Travel_Rarely,No
635,37,Female,4,Life Sciences,Married,Manufacturing Director,2,Research & Development,6447,12,3,2,2,2,3,80,No,6,8,6,2,3,1,4,2,5,Travel_Rarely,No
638,49,Male,4,Life Sciences,Divorced,Research Director,5,Research & Development,19502,17,2,3,4,3,3,80,Yes,1,31,31,5,9,18,0,3,9,Travel_Rarely,No
639,24,Male,3,Medical,Married,Research Scientist,1,Research & Development,2725,11,4,4,2,2,3,80,Yes,1,6,6,3,4,23,1,3,5,Travel_Rarely,No
641,26,Male,2,Marketing,Married,Sales Executive,2,Sales,6272,20,3,2,1,4,4,80,No,1,6,5,5,4,28,1,4,3,Travel_Rarely,No
643,24,Male,2,Other,Married,Laboratory Technician,1,Research & Development,2127,21,2,2,4,4,4,80,No,1,1,1,2,0,17,0,3,0,Travel_Rarely,No
644,50,Male,3,Medical,Married,Manager,5,Human Resources,18200,11,3,2,1,3,3,80,No,1,32,32,2,7,3,10,3,5,Travel_Frequently,No
645,25,Male,1,Medical,Married,Sales Representative,1,Sales,2096,11,3,3,2,3,3,80,No,1,7,7,1,6,13,0,3,4,Travel_Rarely,No
647,24,Female,3,Life Sciences,Married,Laboratory Technician,1,Research & Development,2886,16,3,3,1,4,3,80,Yes,1,6,6,4,2,7,1,3,3,Travel_Frequently,Yes
648,30,Male,4,Life Sciences,Married,Sales Representative,1,Sales,2033,18,2,1,2,3,3,80,No,1,1,1,2,0,12,0,4,0,Travel_Frequently,Yes
649,34,Male,2,Life Sciences,Married,Research Scientist,1,Research & Development,3622,13,2,4,2,4,3,80,Yes,1,6,6,3,3,1,1,3,5,Travel_Rarely,No
650,31,Male,4,Medical,Divorced,Sales Executive,2,Sales,4233,17,3,1,2,3,3,80,No,2,9,3,2,2,13,1,1,1,Travel_Rarely,Yes
652,35,Male,2,Other,Single,Laboratory Technician,2,Research & Development,3681,14,2,4,1,4,3,80,No,4,9,3,3,2,25,0,3,2,Travel_Rarely,No
653,31,Male,4,Medical,Divorced,Sales Executive,2,Sales,5460,22,4,4,1,4,4,80,No,4,13,7,4,7,6,5,4,7,Travel_Rarely,No
655,27,Female,4,Medical,Divorced,Research Scientist,1,Research & Development,2187,12,2,3,1,3,3,80,No,0,6,5,5,3,6,0,2,3,Travel_Rarely,No
656,37,Male,3,Marketing,Married,Sales Executive,2,Sales,9602,11,3,3,4,3,3,80,Yes,4,17,3,3,0,2,1,2,0,Travel_Rarely,No
657,20,Female,3,Life Sciences,Single,Research Scientist,1,Research & Development,2836,13,2,2,4,4,3,80,No,1,1,1,0,0,1,0,4,0,Travel_Rarely,No
659,42,Female,4,Life Sciences,Married,Healthcare Representative,2,Research & Development,4089,13,3,4,3,2,3,80,No,1,10,10,4,2,2,2,3,2,Travel_Rarely,No
661,43,Male,4,Other,Divorced,Research Director,4,Research & Development,16627,14,2,4,2,3,3,80,Yes,4,21,1,3,0,6,0,2,0,Travel_Rarely,No
662,38,Female,1,Life Sciences,Single,Research Scientist,1,Research & Development,2619,17,3,1,3,4,3,80,No,3,8,0,3,0,1,0,2,0,Travel_Rarely,No
663,43,Male,5,Medical,Divorced,Laboratory Technician,2,Research & Development,5679,13,3,3,4,2,3,80,Yes,3,10,8,3,7,9,4,3,7,Travel_Frequently,No
664,48,Female,4,Life Sciences,Married,Manager,4,Research & Development,15402,11,2,1,4,1,3,80,No,7,21,3,3,2,1,0,1,2,Travel_Rarely,No
665,44,Female,4,Life Sciences,Single,Human Resources,2,Human Resources,5985,11,2,3,1,2,3,80,No,4,10,2,1,2,1,0,4,2,Travel_Rarely,No
666,34,Female,3,Technical Degree,Divorced,Sales Representative,1,Sales,2579,18,3,3,3,4,3,80,Yes,1,8,8,3,6,14,0,3,2,Travel_Rarely,No
667,27,Male,1,Marketing,Divorced,Sales Representative,1,Sales,3041,11,3,1,3,2,3,80,No,0,5,4,3,2,2,0,3,3,Travel_Rarely,Yes
669,21,Male,1,Technical Degree,Single,Sales Representative,1,Sales,3447,11,3,3,3,3,3,80,No,1,3,3,2,2,22,1,3,2,Travel_Rarely,No
671,44,Male,4,Other,Married,Manager,5,Research & Development,19513,12,3,4,4,1,3,80,Yes,4,26,2,2,1,3,0,4,2,Travel_Rarely,No
675,22,Male,1,Medical,Married,Research Scientist,1,Research & Development,2773,20,3,3,1,4,4,80,No,0,3,2,3,2,6,2,3,2,Travel_Rarely,No
677,33,Male,4,Marketing,Divorced,Sales Executive,2,Sales,7104,12,3,3,3,4,3,80,No,0,6,5,3,2,8,1,3,0,Travel_Rarely,No
679,32,Female,4,Life Sciences,Married,Research Scientist,2,Research & Development,6322,12,3,4,1,4,3,80,Yes,1,6,6,2,5,9,0,2,4,Travel_Rarely,No
680,30,Female,3,Medical,Divorced,Research Scientist,1,Research & Development,2083,20,3,3,3,3,4,80,No,1,1,1,2,0,3,0,3,0,Travel_Frequently,No
682,53,Female,1,Medical,Single,Sales Executive,2,Sales,8381,20,3,1,4,4,4,80,No,7,18,14,2,10,1,8,4,7,Travel_Rarely,No
683,34,Male,5,Life Sciences,Married,Research Scientist,1,Research & Development,2691,12,3,4,2,4,3,80,No,1,10,10,4,8,1,8,2,9,Travel_Rarely,No
684,45,Female,4,Life Sciences,Married,Sales Executive,2,Sales,4286,14,3,1,1,4,3,80,No,2,5,1,4,0,26,0,3,1,Travel_Frequently,Yes
686,26,Female,3,Life Sciences,Married,Laboratory Technician,1,Research & Development,2659,13,3,4,3,3,3,80,Yes,1,3,3,2,2,6,0,3,2,Travel_Rarely,No
689,37,Male,3,Other,Married,Manufacturing Director,3,Research & Development,9434,15,3,3,3,3,3,80,No,1,10,10,2,8,3,7,3,7,Travel_Rarely,No
690,29,Female,2,Medical,Married,Sales Executive,2,Sales,5561,14,3,3,2,1,3,80,No,1,6,6,5,2,3,1,2,0,Travel_Rarely,No
691,35,Male,4,Life Sciences,Single,Research Scientist,2,Research & Development,6646,13,1,4,2,2,3,80,No,1,17,17,3,8,6,11,3,11,Travel_Rarely,No
692,33,Male,3,Life Sciences,Divorced,Healthcare Representative,2,Research & Development,7725,23,3,4,3,3,4,80,No,3,15,13,2,7,6,4,1,11,Travel_Frequently,No
698,54,Male,4,Medical,Married,Human Resources,3,Human Resources,10725,15,3,2,3,3,3,80,No,2,16,9,1,1,19,7,4,7,Travel_Rarely,No
699,36,Male,2,Medical,Divorced,Manufacturing Director,2,Research & Development,8847,11,2,2,2,3,3,80,Yes,2,13,3,2,2,9,0,3,2,Travel_Rarely,No
